uuid,post_length,like_count,followers_count,friend_count,hashtag_count,retweet_count,is_retweet,klout_score,exclaimation_count,active_shooter,attack,attacker,bomb,bomb_threat,breaking,danger,dead,gunman,killing,rape,shooter,shooting,stabbing,terrorist,warning,class
f696d78a-0982-11e7-b8a3-3085a993c889,86,0,147,237,0,5,TRUE,27,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
84bad7ea-09fc-11e7-acea-3085a993c889,140,0,852,219,0,0,FALSE,43,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1758474a-059d-11e7-8084-3085a993c889,142,0,203,1213,0,516,TRUE,31,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
f8ede1e6-059e-11e7-8685-3085a993c889,142,0,102,1439,0,9,TRUE,18,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
029ab828-059e-11e7-b0f4-3085a993c889,141,0,1395,760,2,13,TRUE,38,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
545dc6a0-059e-11e7-b8d2-3085a993c889,103,0,0,0,26,0,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5b632d9a-09a0-11e7-b165-3085a993c889,119,0,43,112,1,0,FALSE,23,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1c041b76-0c45-11e7-9ed5-3085a993c889,28,0,1613,516,0,0,FALSE,36,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17efdd10-096e-11e7-ab1c-3085a993c889,102,0,4,50,0,0,FALSE,12,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bc0088aa-03b5-11e7-ab9f-3085a993c889,112,0,636,682,0,1,TRUE,53,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
